file,sl_f0_median,praat_f0_median,f0_mae_hz,f0_mae_cents,n_frames,sl_f1,sl_f2,sl_f3,praat_f1,praat_f2,praat_f3,sl_jitter,praat_jitter,sl_shimmer,praat_shimmer,sl_hnr,praat_hnr
bdl_a0001.wav,129.91254381124455,128.32300515308674,1.532677896049671,17.32500959167177,169,483.98187670263223,1544.5418763909834,2819.7730105686037,465.8870802610545,1559.777109589996,2788.711163408767,2.317474224577813,2.2758966284255955,1.0132462372523439,0.8701425535109555,9.9,11.47
bdl_a0002.wav,126.34522017921387,122.63014028724884,1.8231859008166333,22.996031690970597,202,491.08636060852484,1555.7929101603545,2869.1207344817676,489.8797397310688,1516.1068360236713,2864.3527656940514,3.5434338719619136,1.9165099280662956,1.009777720478838,0.858447256549249,7.71,9.56
bdl_a0003.wav,127.37246523784631,124.78989549964516,1.1108169520586135,15.309465184071605,211,463.6002899584559,1726.0730403361522,2769.922184647042,444.4343215814725,1721.3981774285983,2779.6457913711133,3.070441643757364,2.7955687445111077,1.073706700465907,0.8021320119485887,8.14,10.86
bdl_a0004.wav,121.08989255711398,119.80887839285694,1.3358971054559508,20.33682954041137,170,546.5404427214394,1531.3857693656842,2779.3110852767086,529.7857604449882,1502.2579517035408,2772.1644371638404,4.0872818152339825,2.1072066703842562,0.8856706981161098,0.6406393880121528,9.08,11.02
bdl_a0005.wav,127.03013935369916,127.45012501705655,2.8702333644771394,47.17031816337938,90,483.3441843023743,1629.9497502336562,2781.8878464861928,436.92731050723455,1520.0558950060313,2678.029137521208,3.6658019171680376,2.507637129562728,1.077886709911533,0.8128363680807903,8.41,12.54
bdl_a0006.wav,123.01820233346838,122.68959039283696,0.6864768770721242,9.231608945918609,205,599.2689750403574,1300.5373868335116,2843.1254904392795,583.6840712093617,1228.0168437008774,2852.6456617515814,3.9501909522569925,1.9143183161897397,0.9863371046241043,0.9233763434964872,9.9,11.46
bdl_a0007.wav,135.01974276504407,128.45480295879725,2.696804930585426,27.99503919834196,183,456.11612210726094,1834.5667725236408,2924.544080394004,434.4830561880357,1673.9400834488374,2867.676424910299,1.4042480006879359,2.9183496337597132,0.9434659086673811,0.8477815820031408,8.71,12.5
bdl_a0008.wav,123.6813648383453,121.941112200501,1.2755163705313664,18.93619972229898,155,548.3536627253646,1717.0093639064307,2864.015477487032,557.6231316196888,1821.0428663155599,2825.046249811111,3.719326807216476,1.9889208977098698,0.9935478192072422,0.7195600131943435,9.08,9.95
bdl_a0009.wav,125.4553795668057,119.00040292019067,1.0294663146700982,15.877992242789128,158,503.24789893555976,1729.3207419089456,2767.6127447200747,506.7418493837864,1746.7809533050433,2682.7935563826086,2.5193235094623714,1.696223425049404,1.0528585384710076,0.6344411498436173,8.03,13.19
bdl_a0010.wav,122.67569167410268,121.79658810398095,1.956658677230495,31.634262681358972,220,518.2721056151211,1706.4500933509496,2792.990819011481,500.3333491355573,1719.6541652372848,2768.299538263656,2.7933946897188218,2.71803140455359,1.1796629027769392,0.6952834757389542,10.39,12.21
bdl_a0011.wav,117.06273436296175,116.77980418346027,1.3832742139180416,18.37637439712964,247,532.8128923790017,1765.7082993165684,2745.959997860862,533.9828351625401,1796.1940481523839,2682.681445533348,3.338373147868159,2.0082532969947966,0.761690998504003,0.9122748508986742,10.1,12.41
bdl_a0012.wav,126.25712815727329,125.04464309312506,2.8874480322231757,38.99118484447237,174,537.0899560332819,1734.5817441109234,2739.251593221502,544.7621079348205,1760.055688234181,2721.328059435475,1.5333007534580159,1.7029522900700669,0.6289718940832861,0.934757204307498,11.53,9.39
bdl_a0013.wav,119.99844298884761,118.21291790096647,1.0301636650426669,15.769491946431325,237,539.4387236835244,1648.8286050680908,2884.8033302664885,517.5592506109821,1574.7047219663802,2892.0893678663606,2.388152617183399,2.266331672603407,0.9157047379029128,0.9436360478563895,8.85,11.36
bdl_a0014.wav,123.76245153211093,122.4020379059613,1.49489405293274,21.72923628902893,177,464.30614277605275,1582.4355062473728,2792.425373837557,492.3055137376434,1535.7118878834362,2713.8293483589196,3.224063967916855,2.1149174599931295,1.0434531195204801,0.8331011499726637,9.96,11.83
bdl_a0015.wav,120.21135184602011,120.07992598643531,7.984061664167096,100.9087300759513,119,589.4715426052389,1270.3967742838945,2663.330043572525,549.5361180870258,1189.353242099623,2395.6860956635755,2.0092360626839794,1.4225719091327778,0.7504126996515975,0.6073845319641992,11.16,12.6
bdl_a0016.wav,124.19683364992548,120.8430368916781,9.740089038039747,87.7334395182971,197,513.7944317071483,1509.8822516311848,2748.87646907052,498.6093922061329,1520.0952743800767,2678.1635788517865,3.3419592228388377,1.786913968505375,0.9236533373563317,0.7670671742953487,10.01,12.67
bdl_a0017.wav,123.35751490663964,121.17761569053995,0.6992098032100311,9.842098424361975,249,506.4503844706823,1593.425704981919,2830.1453463958865,499.0322343691474,1574.5585996703255,2774.534358575061,2.1937351934719667,2.249888845455228,0.9269265518244026,0.7473627240301164,9.87,12.79
bdl_a0018.wav,120.00064334926292,119.05528399176828,0.664541771619936,9.628724143456276,82,501.7480338440898,1902.4134543509206,2751.528163175625,487.7859607095415,2106.684329411822,2732.776651791799,2.323508267433501,1.415197152390146,0.8940788907818634,0.47951982535133225,8.71,10.49
bdl_a0019.wav,121.81060703586337,120.17124133523079,1.975258170853094,24.65363553298097,230,563.5803806737226,1319.3691980890667,2781.966291373556,549.1508821872991,1290.6317240397482,2770.898587103432,2.157973029032016,1.8530503138103096,0.9613563847792661,0.8168289668497682,8.66,12.37
bdl_a0020.wav,113.13999683073685,114.06284803069113,1.8602563210976402,20.275094239300923,240,479.36544914564087,1447.2536920209564,2864.097510328074,449.27011837890404,1439.3086005360326,2853.6278699255295,2.288440386618259,1.605852859859212,0.796744497210566,0.6339315580967279,10.38,13.64
bdl_a0021_sr44k.wav,111.83854636073228,110.256175830145,1.3337033136797163,18.554090762463954,160,471.67609615142175,1887.7498016762556,2847.2062389783227,464.0717833287972,1742.9190145056332,2832.55917746512,3.9882967275706545,3.3434383258150673,1.1394366906206301,0.8542795909992038,7.56,8.67
bdl_a0022_sr44k.wav,120.6488196826538,118.90552643045933,2.4975760527324247,20.23910527338305,281,622.0343374154281,1461.8235105608642,2739.426761025885,588.1831477046462,1401.4033242731457,2700.948091619121,2.504933009538645,1.9539258547289773,1.066645197741875,0.7256143485778703,9.24,13.27
bdl_a0023_sr22k.wav,118.79260595007085,118.37589274182751,1.637608318863414,24.275522373604897,343,482.02697111545814,1710.3021707083913,2832.2836472305553,477.1957875339038,1669.9530314422148,2772.8560818298615,2.699247729838011,2.1199483207222705,1.0754495449559673,0.8404854788533018,6.4,12.35
bdl_a0024_snr20db.wav,121.11851592567132,120.74350464571535,4.618381047545158,38.82914777030556,235,476.3667757452671,1606.0150578947407,2820.8433249377604,476.2332285250406,1603.507542701296,2847.2194314385906,3.0905949312251333,2.606650824427044,1.086586577523055,1.189157177413892,7.09,10.0
bdl_a0025_snr10db.wav,117.66649434294297,116.81970817025649,0.7736336933254861,11.59218742898237,184,535.7835770389405,1853.8750815706605,2883.7732954707785,525.4846097214215,1904.6073066068082,2901.9857267267043,4.742741380389213,2.0932601939217017,1.3655678868083445,1.1559542328341534,5.73,7.6
clb_a0001.wav,177.44939959540085,178.17033160527234,0.7839701403147353,7.427665648637636,240,448.5128161047546,1796.2345074601053,2978.117504480708,431.1772028962214,1748.4241313019143,2995.741158270166,2.160193727598199,1.2449053629472189,0.5852772639145638,0.4884923369392846,19.35,22.59
clb_a0002.wav,179.7292585965458,178.00525056427327,1.596412776114492,17.194736375864903,236,465.5074731222405,1664.8389177312479,3046.2369429058344,460.048072018457,1615.6885701116744,3066.0202007405974,1.7740532786717622,1.504829901204645,0.596165149412637,0.6370214935853237,15.65,17.76
clb_a0003.wav,184.35515977199756,184.49274609639187,0.7674163841176589,7.037704290979319,260,394.20659266807934,1842.8770989374311,3000.4187357911824,388.4879331142678,1866.349813043812,2988.9245453551684,1.9225652516671239,1.1709751054482913,0.581895866092023,0.5839788452123291,18.57,23.3
clb_a0004.wav,188.12347042492053,186.98824177015328,0.8805308389505593,7.87739263550721,203,504.4960046015024,1664.845774120815,2941.0668776090156,435.83636172367875,1548.0296304682286,2969.255826001857,2.162238225454521,1.1641529282571514,0.5646562672636186,0.47885519994941483,17.79,19.81
clb_a0005.wav,189.9558108737836,189.9788587229337,0.8568973150115284,7.938710109257939,108,450.90031363456495,1840.6127812237928,2941.788370717622,440.98108190170313,1850.5477639020132,3000.282859548207,2.6573774157289782,0.6227671085497976,0.5410356599131853,0.45676269600008224,21.73,24.53
clb_a0006.wav,177.84659911342465,177.10603380306426,1.1602955930175258,10.822730538428518,253,582.753203761323,1556.841179250805,2843.313531939474,509.56660114147473,1490.4960759451567,2729.209741049078,1.8283270330359012,1.1768718678570265,0.638663902579597,0.7249286159042376,16.13,18.37
clb_a0007.wav,187.84353637294825,188.48349502250244,2.842840725177516,32.985716162890874,233,421.49031584512824,1736.1268327505663,2928.8868898124265,424.41985042733677,1737.1568229353088,2949.974419405993,2.0202632180457756,1.1049736785091266,0.8520557157992233,0.48323919018602013,13.93,21.22
clb_a0008.wav,186.7543007024953,186.9651127513387,1.8400322030526097,21.339313257777192,175,508.1791973497959,1843.7784365343928,2911.379173314751,545.8037718786048,1944.1994548738219,2886.9299676659043,1.8786401326042996,0.9444498860602646,0.5860210314357538,0.5456898080305728,18.71,21.71
clb_a0009.wav,186.55894903369932,182.9558426498509,1.641148152373477,17.371222375675178,211,456.29784887383084,1760.1396467282432,2923.0382578484327,474.86729636758434,1787.1342043675907,2907.84180481737,2.128842380640942,1.7510431588970248,0.6324580156994152,0.637197614808055,15.26,20.68
clb_a0010.wav,185.89079384065448,185.73029354772956,1.424308754596131,15.612679233981677,279,484.13875087859714,1682.2380052745898,2973.4398348861882,467.68205118606966,1545.6319869764648,2997.7212968490294,2.0843677929727558,1.4483266268735226,0.5673152662816499,0.5133956623984672,18.84,20.26
clb_a0011.wav,178.6853147149224,178.02724008563536,0.6012115342323966,5.624749214294808,279,388.984007998807,1746.852268564908,2893.644702479482,341.9947133584242,1842.8009460100425,2921.5440457689874,2.351517722806894,0.8971830581165398,0.366798969931113,0.332240370986259,21.52,25.84
clb_a0012.wav,199.5282592166501,196.32369204688734,1.9971349142083814,21.00475333273782,207,474.31158599412726,1764.649696585328,2872.175033030161,460.0480286911788,1850.4310723742876,2942.79453938321,1.8713319961369892,0.7923229699348087,0.49918043204112555,0.3998576416962958,19.74,23.05
clb_a0013.wav,187.1081573997608,186.2688649298659,4.054087649583263,46.44977356159408,302,427.60709522098756,1911.3611780094295,3016.1519879446696,372.47920304439447,1800.6429574349415,2963.3521067488064,1.8512740509620385,2.0042483072421375,0.5432484535758895,0.611287619153325,18.54,21.01
clb_a0014.wav,186.3032083866471,186.47383015184346,0.8205104375264539,7.531217056236267,218,529.3187409116554,1859.3204720432543,3015.492467209373,399.71509326951724,1800.4883582865818,2885.2480293094854,2.0585346872385792,1.1370872812953248,0.5801436327021514,0.5639201117412048,19.03,21.4
clb_a0015.wav,189.3550375244987,188.47665314071438,0.5044510229988708,4.654068189694483,141,494.8157656065815,1477.5576716031637,2647.576502811312,465.05718577898267,1244.69652571322,2173.808366938501,1.3014310107217457,0.5971309917975134,0.2957409436053809,0.24781987121628352,21.58,24.57
