file,sl_f0_median,praat_f0_median,f0_mae_hz,f0_mae_cents,n_frames,sl_f1,sl_f2,sl_f3,praat_f1,praat_f2,praat_f3,sl_jitter,praat_jitter,sl_shimmer,praat_shimmer,sl_hnr,praat_hnr
bdl_a0001_sr8k.wav,130.5732264146751,128.5896282447497,1.2323977858932695,15.459938005064497,170,472.97603895750717,1405.1774271009724,2470.6826227308356,470.515931476769,1389.4200925235991,2607.130593612829,2.4584625352894887,2.4253163522512526,0.9958114711908276,0.8666286639040107,9.03,12.16
bdl_a0002_sr8k.wav,126.52892529819832,123.44718443507585,1.7147991724662117,21.838178137772722,205,478.54601582558536,1461.038660549757,2603.738607459636,483.9791184233314,1364.7676200314536,2589.3913529854826,2.0528314047755725,2.401450396712035,1.0570593999393407,1.091311018513996,6.84,10.16
bdl_a0003_sr8k.wav,127.66001332205232,124.7974532931792,1.2536351860523627,14.812917112236734,210,469.15464948666124,1408.8563434781213,2496.6384378273183,433.8068894478187,1214.693620677716,2167.350746096421,2.8217599622858756,2.7315246663536743,1.0247439565369045,0.8154442097162891,9.1,10.87
bdl_a0004_sr8k.wav,121.12890369805672,119.70602709078086,1.3876151330812763,21.205208939138522,170,486.5496243944182,1338.0137486847045,2476.017956518438,468.33231434657284,1262.036195648371,2513.379687941425,4.153652510372477,2.892794827434915,0.9360776005428438,0.6223569700135457,9.07,11.21
bdl_a0005_sr8k.wav,126.91572117688692,126.84345048453228,2.869750877574534,46.945105940339694,89,418.4600171050274,1358.0472037954253,2366.549233297553,422.96624803370133,1210.5398692365375,2305.708806307438,3.2050616475710947,2.3967070147547123,1.061946980229423,0.8019271923170956,8.11,12.85
slt_a0001_sr8k.wav,195.37087216935942,190.22666168632787,1.6404658955314393,16.452257020007025,209,582.0563986924586,1181.7538648589343,1981.9541078974175,560.278519278308,1040.8248800966217,1820.7571007920433,1.443431247924419,1.7634565949359204,0.7036116582099468,0.6819255698435506,12.58,17.37
slt_a0002_sr8k.wav,178.53207958657416,169.51862793486785,1.7756578917806372,17.811243057806497,211,482.82397371284935,1000.6217431879579,1948.9017413175736,366.0547487779877,880.6720259993924,1688.2508375504551,1.3680648282040762,2.1925581127513074,0.8013784746675476,0.4953908211297658,10.5,15.28
slt_a0003_sr8k.wav,193.3689452592573,188.10054025607397,2.8692293772828754,30.33675230985932,209,390.68592010912704,1060.8798643276614,2118.471973313821,390.5756702433624,1067.876098461421,2052.6241024931787,1.536848313407239,1.1299227123080136,0.5968781525778546,0.49631759943368287,14.02,20.23
slt_a0004_sr8k.wav,187.8751764824562,187.95524758283656,1.9564825994784825,21.40492099673332,181,574.3291455434871,1212.809122936795,1985.8052133110664,544.5353880655005,1158.3714694608266,1840.5864362520888,1.8604337958447963,1.4678623354406939,0.6872597466648989,0.6639047681779107,14.38,18.38
slt_a0005_sr8k.wav,201.75976311428713,193.54020239643205,1.4538021413081623,12.95308708472947,91,555.7273787356578,1239.7207646886377,2031.0692756597186,545.0568185190822,947.2222640714892,1949.175200507851,1.7320133806523919,1.6273551658832177,0.8867211148749273,0.8204310352804897,11.16,15.25
